comment,star
"The case was very nice for a week or two and then stretched so bad that my phones corners were constantly popping out of it. I had to pop the phone back into the case every time i took the phone out of my pocket. Also the more rubbery part of the case (the sides that stretched) yellowed a lot after just a couple of weeks of use. Could not return it to Amazon bc i didnt have the original box so I submitted a warranty claim on the Otterbox website. They asked for photos and said that my case might qualify for a replacement and i need to ship it back to them. They said that they couldn’t provide a shipping label but my shipping fee will be waived on their side. Liars. So i go and spend $30 on shipping it back, send them the receipt and they say they are not going to reimburse it now. Would not even give me a gift card for that amount. So i end up spending $80 on a bad quality product that i dont even have anymore. I ask them if they can at least send me a replacement in a different color so there is no yellowing problem to which they agree (they said they would make an “exception” for me). But then they ignore me for days. FedEx said that they received my package on Dec 9 but on Dec 19 Otterbox said that they dont have anything and they cannot track my package bc the tracking website didn’t work which of course it did. That was the last email I received from a human. On Dec 22 I received an automatically generated email that my package has been received (13 days after it actually arrived) and that was it. They have been ignoring my emails and not responding. $80 and a lot of my free time down the drain. I would not recommend doing business with them to anyone. I trusted their reputation and I should not have. This is the worst customer service experience i have ever had.",1
"This item looks good, the 2-in-1 separate filter line is useful, and installation was straightforward.Unfortunately after 18 months, the faucet started leaking from inside the metal housing. Even when the faucet was turned off, water would leak slowly from inside the housing, down the line, and dripped over a few days. It ended up ruining my cabinet and the drywall on the ceiling of the floor below.The manufacturer, Kraus, claims a ""lifetime limited warranty"", but within the warranty text, the faucet hardware is only covered from defects for 1 year and 5 years, with more limits. After 1 year, they will also charge you for shipping the defective item back to them.I understand that I should have read the warranty terms in more detail before purchasing the item. However, I didn't expect a kitchen faucet to fail within such a short time frame, given how expensive it was. I also take issue with companies that try extract shipping fees from their customers when their products are defective and under warranty.Since I wasn't interested in paying for shipping to have a defective item repaired, and no longer trusted the manufacturer, I asked about return options. The agent condescendingly answered, ""honey, we're the manufacturer, you'll have to call Amazon about that"" and abruptly ended the conversation.I understand that defective items will occur from time to time. However, I do expect that companies stand by their products and provide support for their customers when it happens. Unfortunately Kraus is not one of those companies and I had to go through Amazon to get help with this situation.I'm sure most people who have bought this product have a faucet that's working fine. However, in the off chance that you get a defective unit, just know that Kraus will not be helpful. You're better off buying from another company for the same price range.",1
The handles fell off the replacements,1
It’s not like the pictures. No metal thing to hang it on. Looks homemade.,1
"These candles were lovely until one totally died even after battery replacement. It won't work at all. These are way too expensive to only last 4 months. I turn them on about 3 times/week for an hour, not every day. Disappointing!",1
"Dollar stores have a better quality then this product, and 10 times cheaper.",1
Keyboard is cheap looks like a disco . Slow,1
POST beeps indicating corrupt bios. Returning.,1
"First boot, saw the windows logo, then BSOD. Couldn't get it to recover as it didn't have a recovery image installed. Couldn't boot safe mode, error stating couldn't install windows in safe mode. BSOD after BSOD after BSOD. Additionally, Amazon customer service was lacking in this experience.Returned for refund. Gotta love the new 30 days to refund on higher priced items like this. Maybe I can order one next month.",1
"ive had this pc for a good 3 and a half years already bout it to play games, but after realizing the hardware was 10+ years old i couldnt play nothing on it so i just used it for school work and ext. Out of the 3 and half years ive had it most of the time ive had it it was either not working at asurion getting fixed or on and not even being used cause itll crash every opportunity it gets. I really wished i refunded when i had the chance but i was to ignorant, after these 3 years ive seen plenty of videos on these pc scams and ext and you can get this exact same computer for a quarter of its price. dont get scammed just because it looks good and has LED lights this computer is literally useless. For 500$ you can find a computer wayy more advanced than this one and last way longer. im truly upset on this purchase its the worst of my life (i just got done paying it off)",1
